timestamp,ks_temp,dht_humedad,light,soil_humidity,estado
2026-05-19 19:27:58,18.47,36.00,2027,3530,Estable
2026-05-19 19:28:01,18.50,36.00,2118,3527,Estable
2026-05-19 19:28:04,18.40,36.00,2207,3518,Estable
2026-05-19 19:28:06,18.56,36.00,2226,3539,Estable
2026-05-19 19:28:09,18.43,36.00,2156,3531,Estable
2026-05-19 19:28:11,18.33,36.00,2047,3524,Estable
2026-05-19 19:28:14,18.47,36.00,1987,3536,Estable
2026-05-19 19:28:17,18.56,36.00,1990,3520,Estable
2026-05-19 19:28:19,18.53,36.00,2015,3535,Estable
2026-05-19 19:28:22,18.43,36.00,2065,3529,Estable
2026-05-19 19:28:24,18.47,36.00,2127,3534,Estable
2026-05-19 19:28:27,18.40,36.00,2197,3535,Estable
2026-05-19 19:28:30,18.37,36.00,2228,3522,Estable
2026-05-19 19:28:33,18.33,36.00,2104,3522,Estable
2026-05-19 19:28:35,18.40,36.00,1967,3535,Estable
2026-05-19 19:28:38,18.47,36.00,2080,3531,Estable
2026-05-19 19:28:41,18.37,36.00,2192,3536,Estable
2026-05-19 19:28:44,18.47,36.00,2221,3538,Estable
2026-05-19 19:28:46,18.30,36.00,2229,3542,Estable
2026-05-19 19:28:49,18.33,36.00,2225,3509,Estable
2026-05-19 19:28:52,18.27,36.00,2224,3522,Estable
2026-05-19 19:28:54,18.13,36.00,2229,3532,Estable
2026-05-19 19:28:57,18.30,36.00,2212,3536,Estable
2026-05-19 19:28:59,17.93,36.00,2173,3529,Estable
2026-05-19 19:29:02,18.13,36.00,2069,3538,Estable
2026-05-19 19:29:05,18.27,36.00,1967,3537,Estable
2026-05-19 19:29:08,18.23,36.00,2110,3523,Estable
2026-05-19 19:29:10,18.27,36.00,2219,3523,Estable
2026-05-19 19:29:13,18.30,36.00,2096,3537,Estable
2026-05-19 19:29:16,18.17,36.00,1970,3523,Estable
2026-05-19 19:29:18,18.30,36.00,2030,3519,Estable
2026-05-19 19:29:21,18.30,36.00,2146,3533,Estable
2026-05-19 19:29:24,18.37,36.00,2192,3524,Estable
2026-05-19 19:29:26,18.30,36.00,2215,3536,Estable
2026-05-19 19:29:29,18.37,36.00,2224,3519,Estable
2026-05-19 19:29:31,18.47,36.00,2225,3533,Estable
2026-05-19 19:29:34,18.30,36.00,2223,3545,Estable
2026-05-19 19:29:37,18.50,36.00,2226,3523,Estable
2026-05-19 19:29:39,18.40,36.00,2222,3531,Estable
2026-05-19 19:29:42,18.40,36.00,2201,3551,Estable
2026-05-19 19:29:45,18.60,36.00,2112,3532,Estable
2026-05-19 19:29:47,18.56,36.00,2002,3541,Estable
2026-05-19 19:29:50,18.56,36.00,1981,3543,Estable
2026-05-19 19:29:53,18.47,36.00,2047,3551,Estable
2026-05-19 19:29:55,18.53,36.00,2145,3543,Estable
2026-05-19 19:29:58,18.66,36.00,2192,3561,Estable
2026-05-19 19:30:00,18.70,36.00,2211,3545,Estable
2026-05-19 19:30:03,18.70,36.00,2218,3550,Estable
2026-05-19 19:30:06,18.56,36.00,2209,3552,Estable
2026-05-19 19:30:09,18.60,36.00,2189,3538,Estable
2026-05-19 19:30:11,18.60,36.00,2167,3543,Estable
2026-05-19 19:30:14,18.89,36.00,2148,3536,Estable
2026-05-19 19:30:17,18.66,36.00,2133,3542,Estable
2026-05-19 19:30:19,18.53,36.00,2128,3568,Estable
2026-05-19 19:30:22,18.47,36.00,2135,3550,Estable
2026-05-19 19:30:25,18.86,36.00,2142,3547,Estable
2026-05-19 19:30:27,18.66,36.00,2147,3539,Estable
2026-05-19 19:30:30,18.43,36.00,2127,3541,Estable
2026-05-19 19:30:33,18.30,36.00,2101,3551,Estable
2026-05-19 19:30:35,18.30,36.00,2054,3555,Estable
2026-05-19 19:30:38,18.40,36.00,1995,3549,Estable
2026-05-19 19:30:40,18.50,36.00,1978,3541,Estable
2026-05-19 19:30:43,18.37,36.00,1996,3550,Estable
2026-05-19 19:30:46,18.50,36.00,2032,3538,Estable
2026-05-19 19:30:49,18.53,36.00,2091,3536,Estable
2026-05-19 19:30:51,18.60,36.00,2146,3542,Estable
2026-05-19 19:30:54,18.60,36.00,2187,3536,Estable
